PlantID	SO18-H1-5-41																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	15:57:01	SLCS		Light Curve start 																		
0	2021-12-19	15:57:01	REG1		#2: alpha: 0.126, ETRm: 11.292, Ik: 89.631   ( beta: 0.000, ETRmPot: 11.585 ) 																		
0	2021-12-19	15:57:01	REG2		#2: alpha: 0.099, ETRm: 11.009, Ik: 110.903 																		
1004	2021-12-19	15:57:02	SCHS		Chart start 																		
1005	2021-12-19	15:57:02	FO	93	A	367	1297	0	-	0.717	0	-	0.84	-	-	-	-	-	-	367	1297	0.717	7.8
100993	2021-12-19	15:58:42	F	94	A	410	629	26	-	0.348	3.8	282	0.84	0.631	0.627	0.434	1.062	0.316	0.336	367	1297	0.717	7.8
200996	2021-12-19	16:00:22	F	95	A	323	421	47	-	0.233	4.6	231	0.84	0.516	0.796	0.369	2.081	0.249	0.518	367	1297	0.717	7.8
300977	2021-12-19	16:02:02	F	96	A	299	380	68	-	0.213	6.1	218	0.84	0.5	0.826	0.365	2.413	0.231	0.556	367	1297	0.717	7.8
400968	2021-12-19	16:03:42	F	97	A	293	362	95	-	0.191	7.6	212	0.84	0.46	0.839	0.333	2.583	0.226	0.583	367	1297	0.717	7.8
500947	2021-12-19	16:05:22	F	98	A	293	347	132	-	0.156	8.6	207	0.84	0.386	0.849	0.273	2.738	0.226	0.618	367	1297	0.717	7.8
600931	2021-12-19	16:07:02	F	99	A	299	338	200	-	0.115	9.7	204	0.84	0.291	0.856	0.199	2.837	0.231	0.654	367	1297	0.717	7.8
700918	2021-12-19	16:08:42	F	100	A	301	328	299	-	0.082	10.3	200	0.84	0.211	0.862	0.14	2.954	0.232	0.686	367	1297	0.717	7.8
800920	2021-12-19	16:10:22	F	101	A	305	324	441	-	0.059	10.9	198	0.84	0.151	0.865	0.098	3.003	0.235	0.706	367	1297	0.717	7.8
900913	2021-12-19	16:12:02	F	102	A	306	319	661	-	0.041	11.4	197	0.84	0.107	0.869	0.069	3.066	0.236	0.723	367	1297	0.717	7.8
1000892	2021-12-19	16:13:42	F	103	A	304	316	864	-	0.038	13.8	195	0.84	0.099	0.87	0.064	3.104	0.234	0.728	367	1297	0.717	7.8
1100882	2021-12-19	16:15:22	F	104	A	304	310	1210	-	0.019	9.7	193	0.84	0.051	0.874	0.032	3.184	0.234	0.747	367	1297	0.717	7.8
1200855	2021-12-19	16:17:02	F	105	A	300	305	1578	-	0.016	10.6	191	0.84	0.044	0.877	0.028	3.252	0.231	0.753	367	1297	0.717	7.8
1204192	2021-12-19	16:17:05	SLCE		Light Curve end 																		
PlantID	SO18-H3-4-3																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	16:18:56	SLCS		Light Curve start 																		
0	2021-12-19	16:18:56	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 5.388 ) 																		
0	2021-12-19	16:18:56	REG2		#2: alpha: 0.078, ETRm: 6.870, Ik: 87.928 																		
754	2021-12-19	16:18:57	SCHS		Chart start 																		
755	2021-12-19	16:18:57	FO	106	A	289	979	0	-	0.705	0	-	0.84	-	-	-	-	-	-	289	979	0.705	7.8
100740	2021-12-19	16:20:37	F	107	A	455	606	26	-	0.249	2.7	245	0.84	0.418	0.477	0.225	0.616	0.465	0.286	289	979	0.705	7.8
200714	2021-12-19	16:22:17	F	108	A	347	416	47	-	0.166	3.3	207	0.84	0.33	0.697	0.197	1.353	0.354	0.48	289	979	0.705	7.8
300718	2021-12-19	16:23:57	F	109	A	321	380	68	-	0.155	4.4	197	0.84	0.322	0.735	0.198	1.576	0.328	0.517	289	979	0.705	7.8
400700	2021-12-19	16:25:37	F	110	A	319	368	95	-	0.133	5.3	194	0.84	0.282	0.748	0.171	1.66	0.326	0.541	289	979	0.705	7.8
500682	2021-12-19	16:27:17	F	111	A	317	356	132	-	0.11	6.1	191	0.84	0.236	0.761	0.142	1.75	0.324	0.566	289	979	0.705	7.9
600688	2021-12-19	16:28:57	F	112	A	319	345	199	-	0.075	6.3	187	0.84	0.165	0.771	0.097	1.838	0.326	0.599	289	979	0.705	7.8
700673	2021-12-19	16:30:37	F	113	A	319	335	299	-	0.048	6	184	0.84	0.106	0.781	0.061	1.922	0.326	0.626	289	979	0.705	7.8
800661	2021-12-19	16:32:17	F	114	A	318	328	441	-	0.03	5.6	182	0.84	0.068	0.788	0.039	1.985	0.325	0.645	289	979	0.705	7.8
900644	2021-12-19	16:33:57	F	115	A	314	321	661	-	0.022	6.1	180	0.84	0.05	0.796	0.029	2.05	0.321	0.657	289	979	0.705	7.8
1000632	2021-12-19	16:35:37	F	116	A	309	314	865	-	0.016	5.8	178	0.84	0.037	0.803	0.021	2.118	0.316	0.668	289	979	0.705	7.8
1100614	2021-12-19	16:37:17	F	117	A	302	308	1209	-	0.019	9.6	176	0.84	0.045	0.809	0.026	2.179	0.308	0.673	289	979	0.705	7.8
1200620	2021-12-19	16:38:57	F	118	A	296	300	1577	-	0.013	8.6	173	0.84	0.031	0.816	0.018	2.263	0.302	0.685	289	979	0.705	7.8													
